Welcome to DFS_wrap
Size: 4 : 0.0009376621246337891
Size: 5 : 0.004224455356597901
Size: 6 : 0.008377377986907958
Size: 7 : 0.01737138032913208
Size: 8 : 0.03576856851577759
Size: 9 : 0.05263018846511841
Size: 10 : 0.1860103178024292
Size: 11 : 0.3498684358596802
Size: 12 : 0.6070546126365661
Size: 13 : 1.2178926634788514
Size: 14 : 2.6753934526443484
Size: 15 : 4.7618291330337525
